STATUS | wrapper  | 2006/07/25 11:51:30 | --> Wrapper Started as Console
INFO   | jvm 1    | 2006/07/25 11:59:47 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2006/07/25 11:59:47 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class} [app_parameters]
INFO   | jvm 1    | 2006/07/25 11:59:47 | 
INFO   | jvm 1    | 2006/07/25 11:59:47 | Where:
INFO   | jvm 1    | 2006/07/25 11:59:47 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2006/07/25 11:59:47 |   app_parameters: The parameters that would normally be passed to the
INFO   | jvm 1    | 2006/07/25 11:59:47 |                   application.
STATUS | wrapper  | 2006/07/25 11:59:49 | <-- Wrapper Stopped
STATUS | wrapper  | 2006/07/25 12:00:16 | --> Wrapper Started as Console
STATUS | wrapper  | 2006/07/25 12:00:16 | Launching a JVM...
INFO   | jvm 1    | 2006/07/25 12:00:16 | Wrapper (Version 3.2.1) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2006/07/25 12:00:16 | 
INFO   | jvm 1    | 2006/07/25 12:00:16 | WrapperSimpleApp: Unable to locate the class org.apache.catalina.startup.Bootstrap: java.lang.ClassNotFoundException: org.apache.catalina.startup.Bootstrap
INFO   | jvm 1    | 2006/07/25 12:00:16 | 
INFO   | jvm 1    | 2006/07/25 12:00:16 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2006/07/25 12:00:16 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class} [app_parameters]
INFO   | jvm 1    | 2006/07/25 12:00:16 | 
INFO   | jvm 1    | 2006/07/25 12:00:16 | Where:
INFO   | jvm 1    | 2006/07/25 12:00:16 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2006/07/25 12:00:16 |   app_parameters: The parameters that would normally be passed to the
INFO   | jvm 1    | 2006/07/25 12:00:16 |                   application.
STATUS | wrapper  | 2006/07/25 12:00:18 | <-- Wrapper Stopped
STATUS | wrapper  | 2006/07/25 12:01:49 | --> Wrapper Started as Console
STATUS | wrapper  | 2006/07/25 12:01:49 | Launching a JVM...
INFO   | jvm 1    | 2006/07/25 12:01:49 | Wrapper (Version 3.2.1) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2006/07/25 12:01:49 | 
INFO   | jvm 1    | 2006/07/25 12:01:49 | WrapperSimpleApp: Unable to locate the class Bootstrap: java.lang.ClassNotFoundException: Bootstrap
INFO   | jvm 1    | 2006/07/25 12:01:49 | 
INFO   | jvm 1    | 2006/07/25 12:01:49 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2006/07/25 12:01:49 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class} [app_parameters]
INFO   | jvm 1    | 2006/07/25 12:01:49 | 
INFO   | jvm 1    | 2006/07/25 12:01:49 | Where:
INFO   | jvm 1    | 2006/07/25 12:01:49 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2006/07/25 12:01:49 |   app_parameters: The parameters that would normally be passed to the
INFO   | jvm 1    | 2006/07/25 12:01:49 |                   application.
STATUS | wrapper  | 2006/07/25 12:01:51 | <-- Wrapper Stopped
STATUS | wrapper  | 2006/07/25 12:02:21 | --> Wrapper Started as Console
STATUS | wrapper  | 2006/07/25 12:02:21 | Launching a JVM...
INFO   | jvm 1    | 2006/07/25 12:02:21 | Wrapper (Version 3.2.1) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2006/07/25 12:02:21 | 
INFO   | jvm 1    | 2006/07/25 12:02:21 | WrapperSimpleApp: Unable to locate the class ../bin/Bootstrap.jar: java.lang.ClassNotFoundException: ../bin/Bootstrap.jar
INFO   | jvm 1    | 2006/07/25 12:02:21 | 
INFO   | jvm 1    | 2006/07/25 12:02:21 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2006/07/25 12:02:21 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class} [app_parameters]
INFO   | jvm 1    | 2006/07/25 12:02:21 | 
INFO   | jvm 1    | 2006/07/25 12:02:21 | Where:
INFO   | jvm 1    | 2006/07/25 12:02:21 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2006/07/25 12:02:21 |   app_parameters: The parameters that would normally be passed to the
INFO   | jvm 1    | 2006/07/25 12:02:21 |                   application.
STATUS | wrapper  | 2006/07/25 12:02:23 | <-- Wrapper Stopped
STATUS | wrapper  | 2006/07/25 12:03:07 | --> Wrapper Started as Console
WARN   | wrapper  | 2006/07/25 12:03:08 | The value of property 'wrapper.java.additional.1', 'startup.bat' is not a valid argument to the jvm.  Skipping.
STATUS | wrapper  | 2006/07/25 12:03:08 | Launching a JVM...
INFO   | jvm 1    | 2006/07/25 12:03:08 | Wrapper (Version 3.2.1) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2006/07/25 12:03:08 | 
INFO   | jvm 1    | 2006/07/25 12:03:08 | 
INFO   | jvm 1    | 2006/07/25 12:03:08 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2006/07/25 12:03:08 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class} [app_parameters]
INFO   | jvm 1    | 2006/07/25 12:03:08 | 
INFO   | jvm 1    | 2006/07/25 12:03:08 | Where:
INFO   | jvm 1    | 2006/07/25 12:03:08 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2006/07/25 12:03:08 |   app_parameters: The parameters that would normally be passed to the
INFO   | jvm 1    | 2006/07/25 12:03:08 |                   application.
STATUS | wrapper  | 2006/07/25 12:03:10 | <-- Wrapper Stopped
STATUS | wrapper  | 2006/07/25 12:03:31 | --> Wrapper Started as Console
STATUS | wrapper  | 2006/07/25 12:03:31 | Launching a JVM...
INFO   | jvm 1    | 2006/07/25 12:03:31 | Wrapper (Version 3.2.1) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2006/07/25 12:03:31 | 
INFO   | jvm 1    | 2006/07/25 12:03:31 | WrapperSimpleApp: Unable to locate the class start: java.lang.ClassNotFoundException: start
INFO   | jvm 1    | 2006/07/25 12:03:31 | 
INFO   | jvm 1    | 2006/07/25 12:03:31 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2006/07/25 12:03:31 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class} [app_parameters]
INFO   | jvm 1    | 2006/07/25 12:03:31 | 
INFO   | jvm 1    | 2006/07/25 12:03:31 | Where:
INFO   | jvm 1    | 2006/07/25 12:03:31 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2006/07/25 12:03:31 |   app_parameters: The parameters that would normally be passed to the
INFO   | jvm 1    | 2006/07/25 12:03:31 |                   application.
STATUS | wrapper  | 2006/07/25 12:03:33 | <-- Wrapper Stopped
STATUS | wrapper  | 2006/07/25 12:06:56 | --> Wrapper Started as Console
STATUS | wrapper  | 2006/07/25 12:06:57 | Launching a JVM...
INFO   | jvm 1    | 2006/07/25 12:06:57 | Wrapper (Version 3.2.1) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2006/07/25 12:06:57 | 
INFO   | jvm 1    | 2006/07/25 12:06:57 | WrapperSimpleApp: Unable to locate the class org.apache.catalina.startup.Bootstrap: java.lang.ClassNotFoundException: org.apache.catalina.startup.Bootstrap
INFO   | jvm 1    | 2006/07/25 12:06:57 | 
INFO   | jvm 1    | 2006/07/25 12:06:57 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2006/07/25 12:06:57 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class} [app_parameters]
INFO   | jvm 1    | 2006/07/25 12:06:57 | 
INFO   | jvm 1    | 2006/07/25 12:06:57 | Where:
INFO   | jvm 1    | 2006/07/25 12:06:57 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2006/07/25 12:06:57 |   app_parameters: The parameters that would normally be passed to the
INFO   | jvm 1    | 2006/07/25 12:06:57 |                   application.
STATUS | wrapper  | 2006/07/25 12:06:59 | <-- Wrapper Stopped
STATUS | wrapper  | 2006/07/25 12:10:08 | --> Wrapper Started as Console
STATUS | wrapper  | 2006/07/25 12:10:08 | Launching a JVM...
INFO   | jvm 1    | 2006/07/25 12:10:08 | Wrapper (Version 3.2.1) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2006/07/25 12:10:08 | 
INFO   | jvm 1    | 2006/07/25 12:10:08 | WrapperSimpleApp: Unable to locate the class org.apache.catalina.startup.Bootstrap: java.lang.ClassNotFoundException: org.apache.catalina.startup.Bootstrap
INFO   | jvm 1    | 2006/07/25 12:10:08 | 
INFO   | jvm 1    | 2006/07/25 12:10:08 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2006/07/25 12:10:08 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class} [app_parameters]
INFO   | jvm 1    | 2006/07/25 12:10:08 | 
INFO   | jvm 1    | 2006/07/25 12:10:08 | Where:
INFO   | jvm 1    | 2006/07/25 12:10:08 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2006/07/25 12:10:08 |   app_parameters: The parameters that would normally be passed to the
INFO   | jvm 1    | 2006/07/25 12:10:08 |                   application.
STATUS | wrapper  | 2006/07/25 12:10:10 | <-- Wrapper Stopped
STATUS | wrapper  | 2006/07/25 12:20:49 | --> Wrapper Started as Console
STATUS | wrapper  | 2006/07/25 12:20:49 | Launching a JVM...
INFO   | jvm 1    | 2006/07/25 12:20:49 | Wrapper (Version 3.2.1) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2006/07/25 12:20:49 | 
INFO   | jvm 1    | 2006/07/25 12:20:51 | Jul 25, 2006 12:20:51 PM org.apache.coyote.http11.Http11Protocol init
INFO   | jvm 1    | 2006/07/25 12:20:51 | SEVERE: Error initializing endpoint
INFO   | jvm 1    | 2006/07/25 12:20:51 | java.net.BindException: Address already in use: JVM_Bind:9090
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at org.apache.tomcat.util.net.PoolTcpEndpoint.initEndpoint(PoolTcpEndpoint.java:264)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at org.apache.coyote.http11.Http11Protocol.init(Http11Protocol.java:137)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at org.apache.coyote.tomcat5.CoyoteConnector.initialize(CoyoteConnector.java:1429)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at org.apache.catalina.core.StandardService.initialize(StandardService.java:609)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at org.apache.catalina.core.StandardServer.initialize(StandardServer.java:2384)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at org.apache.catalina.startup.Catalina.load(Catalina.java:507)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at java.lang.reflect.Method.invoke(Method.java:324)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at org.apache.catalina.startup.Bootstrap.load(Bootstrap.java:250)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at org.apache.catalina.startup.Bootstrap.main(Bootstrap.java:424)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at java.lang.reflect.Method.invoke(Method.java:324)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:292)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at java.lang.Thread.run(Thread.java:534)
INFO   | jvm 1    | 2006/07/25 12:20:51 | Jul 25, 2006 12:20:51 PM org.apache.catalina.startup.Catalina load
INFO   | jvm 1    | 2006/07/25 12:20:51 | SEVERE: Catalina.start
INFO   | jvm 1    | 2006/07/25 12:20:51 | LifecycleException:  Protocol handler initialization failed: java.net.BindException: Address already in use: JVM_Bind:9090
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at org.apache.coyote.tomcat5.CoyoteConnector.initialize(CoyoteConnector.java:1431)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at org.apache.catalina.core.StandardService.initialize(StandardService.java:609)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at org.apache.catalina.core.StandardServer.initialize(StandardServer.java:2384)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at org.apache.catalina.startup.Catalina.load(Catalina.java:507)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at java.lang.reflect.Method.invoke(Method.java:324)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at org.apache.catalina.startup.Bootstrap.load(Bootstrap.java:250)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at org.apache.catalina.startup.Bootstrap.main(Bootstrap.java:424)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at java.lang.reflect.Method.invoke(Method.java:324)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:292)
INFO   | jvm 1    | 2006/07/25 12:20:51 | 	at java.lang.Thread.run(Thread.java:534)
INFO   | jvm 1    | 2006/07/25 12:20:51 | Jul 25, 2006 12:20:51 PM org.apache.catalina.startup.Catalina load
INFO   | jvm 1    | 2006/07/25 12:20:51 | INFO: Initialization processed in 984 ms
INFO   | jvm 1    | 2006/07/25 12:20:51 | Jul 25, 2006 12:20:51 PM org.apache.catalina.core.StandardService start
INFO   | jvm 1    | 2006/07/25 12:20:51 | INFO: Starting service Catalina
INFO   | jvm 1    | 2006/07/25 12:20:51 | Jul 25, 2006 12:20:51 PM org.apache.catalina.core.StandardEngine start
INFO   | jvm 1    | 2006/07/25 12:20:51 | INFO: Starting Servlet Engine: Apache Tomcat/5.0.30
INFO   | jvm 1    | 2006/07/25 12:20:51 | Jul 25, 2006 12:20:51 PM org.apache.catalina.core.StandardHost start
INFO   | jvm 1    | 2006/07/25 12:20:51 | INFO: XML validation disabled
INFO   | jvm 1    | 2006/07/25 12:20:51 | Jul 25, 2006 12:20:51 PM org.apache.catalina.core.StandardHost getDeployer
INFO   | jvm 1    | 2006/07/25 12:20:51 | INFO: Create Host deployer for direct deployment ( non-jmx ) 
INFO   | jvm 1    | 2006/07/25 12:20:51 | Jul 25, 2006 12:20:51 PM org.apache.catalina.core.StandardHostDeployer install
INFO   | jvm 1    | 2006/07/25 12:20:51 | INFO: Processing Context configuration file URL file:D:\TalentpoolInstaller\TalentPool\tomcat\conf\Catalina\localhost\admin.xml
INFO   | jvm 1    | 2006/07/25 12:20:52 | Jul 25, 2006 12:20:52 PM org.apache.catalina.core.StandardHostDeployer install
INFO   | jvm 1    | 2006/07/25 12:20:52 | INFO: Processing Context configuration file URL file:D:\TalentpoolInstaller\TalentPool\tomcat\conf\Catalina\localhost\balancer.xml
INFO   | jvm 1    | 2006/07/25 12:20:53 | Jul 25, 2006 12:20:52 PM org.apache.catalina.core.StandardHostDeployer install
INFO   | jvm 1    | 2006/07/25 12:20:53 | INFO: Processing Context configuration file URL file:D:\TalentpoolInstaller\TalentPool\tomcat\conf\Catalina\localhost\manager.xml
INFO   | jvm 1    | 2006/07/25 12:20:53 | Jul 25, 2006 12:20:52 PM org.apache.catalina.core.StandardHostDeployer install
INFO   | jvm 1    | 2006/07/25 12:20:53 | INFO: Processing Context configuration file URL file:D:\TalentpoolInstaller\TalentPool\tomcat\conf\Catalina\localhost\TalentPool.xml
INFO   | jvm 1    | 2006/07/25 12:20:53 | Jul 25, 2006 12:20:53 PM org.apache.struts.util.PropertyMessageResources <init>
INFO   | jvm 1    | 2006/07/25 12:20:53 | INFO: Initializing, config='org.apache.struts.util.LocalStrings', returnNull=true
INFO   | jvm 1    | 2006/07/25 12:20:53 | Jul 25, 2006 12:20:53 PM org.apache.struts.util.PropertyMessageResources <init>
INFO   | jvm 1    | 2006/07/25 12:20:53 | INFO: Initializing, config='org.apache.struts.action.ActionResources', returnNull=true
INFO   | jvm 1    | 2006/07/25 12:20:54 | Jul 25, 2006 12:20:54 PM org.apache.struts.util.PropertyMessageResources <init>
INFO   | jvm 1    | 2006/07/25 12:20:54 | INFO: Initializing, config='talentpoollabels', returnNull=true
INFO   | jvm 1    | 2006/07/25 12:20:54 | Jul 25, 2006 12:20:54 PM org.apache.catalina.core.StandardHostDeployer install
INFO   | jvm 1    | 2006/07/25 12:20:54 | INFO: Installing web application at context path /jsp-examples from URL file:D:\TalentpoolInstaller\TalentPool\tomcat\webapps\jsp-examples
INFO   | jvm 1    | 2006/07/25 12:20:54 | Jul 25, 2006 12:20:54 PM org.apache.catalina.core.StandardHostDeployer install
INFO   | jvm 1    | 2006/07/25 12:20:54 | INFO: Installing web application at context path  from URL file:D:\TalentpoolInstaller\TalentPool\tomcat\webapps\ROOT
INFO   | jvm 1    | 2006/07/25 12:20:54 | Jul 25, 2006 12:20:54 PM org.apache.catalina.core.StandardHostDeployer install
INFO   | jvm 1    | 2006/07/25 12:20:54 | INFO: Installing web application at context path /servlets-examples from URL file:D:\TalentpoolInstaller\TalentPool\tomcat\webapps\servlets-examples
INFO   | jvm 1    | 2006/07/25 12:20:54 | Jul 25, 2006 12:20:54 PM org.apache.catalina.core.StandardHostDeployer install
INFO   | jvm 1    | 2006/07/25 12:20:54 | INFO: Installing web application at context path /tomcat-docs from URL file:D:\TalentpoolInstaller\TalentPool\tomcat\webapps\tomcat-docs
INFO   | jvm 1    | 2006/07/25 12:20:54 | Jul 25, 2006 12:20:54 PM org.apache.catalina.core.StandardHostDeployer install
INFO   | jvm 1    | 2006/07/25 12:20:54 | INFO: Installing web application at context path /webdav from URL file:D:\TalentpoolInstaller\TalentPool\tomcat\webapps\webdav
INFO   | jvm 1    | 2006/07/25 12:20:54 | Jul 25, 2006 12:20:54 PM org.apache.coyote.http11.Http11Protocol start
INFO   | jvm 1    | 2006/07/25 12:20:54 | SEVERE: Error starting endpoint
INFO   | jvm 1    | 2006/07/25 12:20:54 | java.net.BindException: Address already in use: JVM_Bind:9090
INFO   | jvm 1    | 2006/07/25 12:20:54 | 	at org.apache.tomcat.util.net.PoolTcpEndpoint.initEndpoint(PoolTcpEndpoint.java:264)
INFO   | jvm 1    | 2006/07/25 12:20:54 | 	at org.apache.tomcat.util.net.PoolTcpEndpoint.startEndpoint(PoolTcpEndpoint.java:281)
INFO   | jvm 1    | 2006/07/25 12:20:54 | 	at org.apache.coyote.http11.Http11Protocol.start(Http11Protocol.java:171)
INFO   | jvm 1    | 2006/07/25 12:20:54 | 	at org.apache.coyote.tomcat5.CoyoteConnector.start(CoyoteConnector.java:1527)
INFO   | jvm 1    | 2006/07/25 12:20:54 | 	at org.apache.catalina.core.StandardService.start(StandardService.java:489)
INFO   | jvm 1    | 2006/07/25 12:20:54 | 	at org.apache.catalina.core.StandardServer.start(StandardServer.java:2313)
INFO   | jvm 1    | 2006/07/25 12:20:54 | 	at org.apache.catalina.startup.Catalina.start(Catalina.java:556)
INFO   | jvm 1    | 2006/07/25 12:20:54 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2006/07/25 12:20:54 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)
INFO   | jvm 1    | 2006/07/25 12:20:54 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)
INFO   | jvm 1    | 2006/07/25 12:20:54 | 	at java.lang.reflect.Method.invoke(Method.java:324)
